,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
62,Manic,10,1DSHAYYPzPh5JusGnEN3Pm,Graveyard - Stripped,spotify:track:1DSHAYYPzPh5JusGnEN3Pm,0.801,0.476,0.44,0.00035,0.0955,-6.031,0.032,163.717,0.391,45
63,Manic,11,1PDewLLRWmPjQQvml0fBMV,3am - Stripped,spotify:track:1PDewLLRWmPjQQvml0fBMV,0.776,0.687,0.743,0.000145,0.139,-2.694,0.0366,95.171,0.504,53
64,Manic,1,55ZcA6PazdlXjE1jO5GrzJ,Ashley,spotify:track:55ZcA6PazdlXjE1jO5GrzJ,0.137,0.663,0.531,0.0,0.146,-6.339,0.0827,125.014,0.366,59
65,Manic,2,66c7n8ZXmYQQeXyNVfiArc,clementine,spotify:track:66c7n8ZXmYQQeXyNVfiArc,0.885,0.533,0.437,0.0,0.106,-7.659,0.162,143.263,0.48,54
66,Manic,3,2ufmtcIFdFpuUYBPXK5f67,Graveyard,spotify:track:2ufmtcIFdFpuUYBPXK5f67,0.231,0.667,0.583,4.48e-05,0.181,-5.127,0.0747,92.043,0.187,74
67,Manic,4,7lidXGPXPYLNThITAOTlkK,You should be sad,spotify:track:7lidXGPXPYLNThITAOTlkK,0.143,0.591,0.585,0.0,0.109,-6.35,0.0277,110.94,0.324,79
68,Manic,5,6BORJ0ZazxMBpM3cWg79Id,Forever ... (is a long time),spotify:track:6BORJ0ZazxMBpM3cWg79Id,0.746,0.509,0.265,1.08e-06,0.198,-9.716,0.0344,70.028,0.291,56
69,Manic,6,2sOOXgEGB7nhKO8mmc1GhI,Dominic’s Interlude,spotify:track:2sOOXgEGB7nhKO8mmc1GhI,0.784,0.406,0.368,0.0,0.354,-6.31,0.0296,157.885,0.707,55
70,Manic,7,35FjZytt5TukIgJD86UybL,I HATE EVERYBODY,spotify:track:35FjZytt5TukIgJD86UybL,0.137,0.679,0.197,0.0,0.0887,-7.078,0.0331,79.504,0.559,58
71,Manic,8,1OfLNb6dQ9dra1B58iT9Ex,3am,spotify:track:1OfLNb6dQ9dra1B58iT9Ex,0.00906,0.385,0.871,0.0,0.579,-4.604,0.0795,189.76,0.538,63
72,Manic,9,6FZDfxM3a3UCqtzo5pxSLZ,Without Me,spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,0.533,76
73,Manic,10,42SOtYBdnfj9zEdZSlAq5k,Finally // beautiful stranger,spotify:track:42SOtYBdnfj9zEdZSlAq5k,0.051,0.626,0.55,0.0,0.118,-5.105,0.029,133.976,0.123,60
74,Manic,11,6ZmwwHYtun94UOdFWWgdif,Alanis’ Interlude,spotify:track:6ZmwwHYtun94UOdFWWgdif,0.00947,0.705,0.89,0.0,0.14,-4.356,0.0555,94.013,0.45,55
75,Manic,12,1H3Okhf16ttAICZF7zgDko,killing boys,spotify:track:1H3Okhf16ttAICZF7zgDko,0.243,0.685,0.898,0.000103,0.377,-5.796,0.186,139.993,0.684,57
76,Manic,13,1ZoQVu9XBssJBdeKMgF2eV,SUGA's Interlude,spotify:track:1ZoQVu9XBssJBdeKMgF2eV,0.0864,0.55,0.732,0.0,0.0425,-6.88,0.105,153.836,0.246,57
77,Manic,14,3jgHKbpswygyOMipFz06RQ,More,spotify:track:3jgHKbpswygyOMipFz06RQ,0.635,0.399,0.224,0.0,0.0836,-11.19,0.119,170.795,0.172,57
78,Manic,15,2Mfv5HaqnI18Q9JRv9hqnn,Still Learning,spotify:track:2Mfv5HaqnI18Q9JRv9hqnn,0.0396,0.708,0.661,0.000244,0.113,-6.543,0.0546,102.046,0.317,62
79,Manic,16,1ed6Wdjk7gkxI2lIYjAoJ2,929,spotify:track:1ed6Wdjk7gkxI2lIYjAoJ2,0.935,0.642,0.317,0.0,0.207,-9.325,0.155,150.152,0.617,57
80,hopeless fountain kingdom (Deluxe),1,7gBHiMoHNnPCqt1YR7sM2P,The Prologue,spotify:track:7gBHiMoHNnPCqt1YR7sM2P,0.525,0.495,0.463,1.48e-05,0.102,-10.54,0.0374,38.017,0.137,43
81,hopeless fountain kingdom (Deluxe),2,5EBvHC0SGFJDenBJafqOX4,100 Letters,spotify:track:5EBvHC0SGFJDenBJafqOX4,0.155,0.745,0.713,0.0,0.0653,-5.129,0.0896,110.052,0.376,53
82,hopeless fountain kingdom (Deluxe),3,2WQn7Yvs728KZmmY6tgWqH,Eyes Closed,spotify:track:2WQn7Yvs728KZmmY6tgWqH,0.0179,0.581,0.684,1.93e-05,0.0849,-4.962,0.0429,129.966,0.0397,60
83,hopeless fountain kingdom (Deluxe),4,2zRiYzBzeabQQ16BK3c6jk,Heaven In Hiding,spotify:track:2zRiYzBzeabQQ16BK3c6jk,0.0957,0.55,0.874,0.0,0.0618,-3.954,0.136,117.926,0.476,57
